id	text	title
827849752_13129-13414	Baron and Hanna looked at 152 participants and tested to see how the presence of depression affected egocentrism . They tested adults between the ages of 18 and 25 and found that the participants who suffered from depression showed higher levels of egocentrism than those who did not .	Egocentrism
827849752_13415-14424	Finally , Surtees and Apperly found that when adults were asked to judge the number of dots they see and the number of dots the avatar in the computer simulation sees , the presence of the avatar interfered with the participants ' judgment - making during the trials . Specifically , these were the trials where the number of dots seen by the participant was inconsistent from the number of dots the avatar saw . Such effect on the participants diminished when the avatar was replaced with a simple yellow or blue line , which concluded that somehow the avatar having a personal attribute implicitly caused the participants to include its `` vision '' into their own decision making . That said , they made more errors when they saw prompts such as `` the avatar sees N '' when N was the number of dots the participant saw and not the avatar , which shows that egocentric thought is still predominant in making quick judgments , even if the adults are well aware that their thoughts could differ from others .	Egocentrism
811080430_70-451	Retail design is a creative and commercial discipline that combines several different areas of expertise together in the design and construction of retail space . Retail design is primarily a specialized practice of architecture and interior design , however it also incorporates elements of interior decoration , industrial design , graphic design , ergonomics , and advertising .	Retail design
811080430_452-1263	Retail design is a very specialized discipline due to the heavy demands placed on retail space . Because the primary purpose of retail space is to stock and sell product to consumers , the spaces must be designed in a way that promotes an enjoyable and hassle - free shopping experience for the consumer . For example , research shows that male and female shoppers who were accidentally touched from behind by other shoppers left a store earlier than people who had not been touched and evaluated brands more negatively . The space must be specially - tailored to the kind of product being sold in that space ; for example , a bookstore requires many large shelving units to accommodate small products that can be arranged categorically while a clothing store requires more open space to fully display product .	Retail design
811080430_1264-1640	Retail spaces , especially when they form part of a retail chain , must also be designed to draw people into the space to shop . The storefront must act as a billboard for the store , often employing large display windows that allow shoppers to see into the space and the product inside . In the case of a retail chain , the individual spaces must be unified in their design .	Retail design
811080430_1781-2100	Retail design first began to grow in the middle of the 19th century , with stores such as Bon Marche and Printemps in Paris , `` followed by Marshall Fields in Chicago , Selfridges in London and Macy 's in New York . '' These early retail design stores were swiftly continued with an innovation called the chain store .	Retail design
811080430_2101-2759	The first known chain department stores were established in Belgium in 1875 , when Isidore , Benjamin and Modeste Dewachter incorporated Dewachter frères ( Dewachter Brothers ) selling ready - to - wear clothing for men and children and specialty clothing such as riding apparel and beachwear . The firm opened with four locations and , by 1904 , Maison Dewachter ( House of Dewachter ) had stores in 20 cities and towns in Belgium and France , with multiple stores in some cities . Isidore 's eldest son , Louis Dewachter , managed the chain at its peak and also became an internationally known landscape artist , painting under the pseudonym Louis Dewis .	Retail design
811080430_2760-3511	The first retail chain store in the United States was opened in the early 20th century by Frank Winfield Woolworth , which quickly became a franchise across the US . Other chain stores began growing in places like the UK a decade or so later , with stores like Boots . After World War II , a new type of retail design building known as the shopping centre came into being . This type of building took two different paths in comparison between the US and Europe . Shopping centres began being built out of town within the United States to benefit the suburban family , while Europe began putting shopping centres in the middle of town . The first shopping centre in the Netherlands was built in the 1950s , as retail design ideas began spreading east .	Retail design
811080430_3512-4307	The next evolution of retail design was the creation of the boutique in the 1960s , which emphasized retail design run by individuals . Some of the earliest examples of boutiques are the Biba boutique created by Barbara Hulanicki and the Habitat line of stores made by Terence Conran . The rise of the boutique was followed , in the next two decades , with an overall increase in consumer spending across the developed world . This rise made retail design shift to compensate for increased customers and alternative focuses . Many retail design stores redesigned themselves over the period to keep up with changing consumer tastes . These changes resulted on one side with the creation of multiple `` expensive , one - off designer shops '' catering to specific fashion designers and retailers .	Retail design
811080430_4308-4666	The rise of the internet and internet retailing in the latter part of the 20th century and into the 21st century saw another change in retail design to compensate . Many different sectors not related to the internet reached out to retail design and its practices to lure online shoppers back to physical shops , where retail design can be properly utilized .	Retail design
811080430_4696-5304	A retail designer must create a thematic experience for the consumer , by using spatial cues to entertain as well as entice the consumer to purchase goods and interact with the space . The success of their designs are not measured by design critics but rather the records of the store which compare amount of foot traffic against the overall productivity . Retail designers have an acute awareness that the store and their designs are the background to the merchandise and are only there to represent and create the best possible environment in which to reflect the merchandise to the target consumer group .	Retail design
811080430_5330-6059	Since the evolution of retail design and its impact on productivity have become clear , a series of standardisations in the techniques and design qualities has been determined . These standardisations range from alterations to the perspective of the structure of the space , entrances , circulation systems , atmospheric qualities ( light and sound ) and materiality . By exploring these standardisations in retail design the consumer will be given a thematic experience that entices them to purchase the merchandise . It is also important to acknowledge that a retail space must combine both permanent and non permanent features , that allow it to change as the needs of the consumer and merchandise change ( e.g. per season ) .	Retail design
811080430_6060-6935	The structure of retail space creates the constraints of the overall design ; often the spaces already exist , and have had many prior uses . It is at this stage that logistics must be determined , structural features like columns , stairways , ceiling height , windows and emergency exists all must be factored into the final design . In retail one hundred percent of the space must be utilised and have a purpose . The floor plan creates the circulation which then directly controls the direction of the traffic flow based on the studied psychology of consumer movement pattern within a retail space . Circulation is important because it ensures that the consumer moves through the store from front to back , guiding them to important displays and in the end to the cashier . There are six basic store layouts and circulation plans that all provide a different experience :	Retail design
811080430_6936-8506	Straight plan : this plan divides transitional areas from one part of the store to the other by using walls to display merchandise . It also leads the consumer to the back of the store . This design can be used for a variety of stores ranging from pharmacies to apparel . Pathway plan : is most suitable for large stores that are single level . In this plan there is a path that is unobstructed by shop fixtures , this smoothly guides the consumer through to the back of the store . This is well suited for apparel department stores , as the clothes will be easily accessible . Diagonal plan : uses perimeter design which cause angular traffic flow . The cashier is in a central location and easily accessible . This plan is most suited for self - service retail . Curved plan : aims to create an intimate environment that is inviting . In this plan there is an emphasis on the structure of the space including the walls , corners and ceiling this is achieved by making the structure curved and is enhance by circular floor fixtures . Although this is a more expensive layout it is more suited to smaller spaces like salons and boutiques . Varied plan : in this plan attention is drawn to special focus areas , as well as having storage areas that line the wall . This is best suited for footwear and jewellery retail stores . Geometric plan : uses the racks and the retail floor fixtures to create a geometric floor plan and circulation movement . By lowering parts of the ceiling certain areas can create defined retail spaces . This is well suited for appeal stores .	Retail design
811080430_8507-8840	Once the overall structure and circulation of the space has been determined , the atmosphere and thematics of the space must be created through lighting , sound , materials and visual branding . These design elements will cohesively have the greatest impact on the consumer and thus the level of productivity that could be achieved .	Retail design
811080430_8841-10127	Lighting can have a dramatic impact on the space . It needs to be functional but also complement the merchandise as well as emphasize key points throughout the store . The lighting should be layered and of a variety of intensities and fixtures . Firstly , examine the natural light and what impact it has in the space . Natural light adds interest and clarity to the space ; also consumers also prefer to examine the quality of merchandise in natural light . If no natural light exists , a sky light can be used to introduce it to the retail space . The lighting of the ceiling and roof is the next thing to consider . This lighting should wash the structural features while creating vectors that direct the consumer to key merchandise selling areas . The next layer should emphasize the selling areas . These lights should be direct but not too bright and harsh . Poor lighting can cause eye strain and an uncomfortable experience for the consumer . To minimize the possibility of eye strain , the ratio of luminance should decrease between merchandise selling areas . The next layer will complement and bring focus onto the merchandise ; this lighting should be flattering for the merchandise and consumer . The final layer is to install functional lighting such as clear exit signs .	Retail design
811080430_10128-10537	Ambiance can then be developed within the atmosphere through sound and audio , the music played within the store should reflect what your target market would be drawn to , this would also be developed through the merchandise that is being marketed . In a lingerie store the music should be soft , feminine and romanticized ; where in a technology department the music would be more upbeat and more masculine .	Retail design
811080430_10538-11614	Materiality is another key selling tool , the choices made must not only be aesthetically pleasing and persuasive but also functional with a minimal need for maintenance . Retail spaces are high traffic area and are thus exposed to a lot of wear this means that possible finishes of the materials should be durable . The warmth of a material will make the space more inviting , a floor that is firm and somewhat buoyant will be more comfortable for that consumer to walk on and thus this will allow them to take longer when exploring the store . By switching materials throughout the store zones / areas can be defined , for example by making the path one material and contrast it against another for the selling areas this help to guide the consumer through the store . Colour is also important to consider it must not over power or clash against the merchandise but rather create a complementary background for the merchandise . As merchandise will change seasonally the interior colours should not be trend based but rather have timeless appeal like neutral based colours .	Retail design
811080430_11615-12323	Visual branding of the store will ensure a memorable experience for the consumer to take with them once they leave the store ensuring that they will want to return . The key factor is consistency exterior branding and signage should continue into the interior , they should attract , stimulate and dramatise the store . To ensure consistency the font should be consistent with the font size altering . The interior branding should allow the consumer to easily self direct themselves through the store , proper placement of sales signs that will draw consumer in and show exactly where the cashier is located . The branding should reflect what the merchandise is and what the target market would be drawn to .	Retail design
811080430_12345-12667	The final element of a well - executed retail space is the staging of the consumer 's perspective . It is the role of retail design to have total control of the view that the consumer will have of the retail space . From the exterior of a retail store the consumer should have a clear unobstructed view into the interior .	Retail design
802819300_110-367	Oh , Kay ! 1955 Studio Cast Recording Music George Gershwin Lyrics Ira Gershwin Book Guy Bolton P.G. Wodehouse Basis play La Presidente Productions 1926 Broadway 1927 West End 1928 Broadway revival 1928 Film 1960 Off - Broadway revival 1990 Broadway revival	Oh, Kay!
802819300_368-981	Oh , Kay ! is a musical with music by George Gershwin , lyrics by Ira Gershwin , and a book by Guy Bolton and P.G. Wodehouse . It is based on the play La Presidente by Maurice Hanniquin and Pierre Veber . The plot revolves around the adventures of the Duke of Durham and his sister , Lady Kay , English bootleggers in Prohibition Era America . Kay finds herself falling in love with a man who seems unavailable . Oh Kay ! was named for Kay Swift , and the leading male character , Jimmy , is named after her husband , Jimmy Warburg . The show is remembered for its enduring song , `` Someone to Watch Over Me '' .	Oh, Kay!
802819300_982-1226	The musical opened on Broadway in 1926 , starring Gertrude Lawrence and Victor Moore , and ran for 256 performances . The musical then opened in London 's West End in 1927 , starring Lawrence and John Kirby , where it ran for 213 performances .	Oh, Kay!
802819300_1420-2511	Producers Alex A. Aarons and Vinton Freedly imagined Oh , Kay ! as a Princess Theatre - style show , with a contemporary setting , simple sets , and a farcical story . Gertrude Lawrence , who had been featured in the André Charlot revues of 1924 and 1925 , was chosen as the star before the songs or story had been written . In accordance with the typical creative process for early American musicals , George and Ira Gershwin wrote the score to Oh , Kay ! before the librettists , Bolton and Wodehouse , began work on the book . When the book was completed , eight songs from the Gershwins ' score were cut because they could not be easily inserted into the libretto . The show 's Philadelphia previews ran more than three hours , and so the producers cut the prologue ( where the leading lady was introduced ) , thus losing the first 4 songs , and also the Act II `` Finaletto '' , which became obsolete in the reshuffling . This highlighted the farcical elements of the plot at the expense of the romantic ones , since the title character does not appear until 40 minutes into the show .	Oh, Kay!
802819300_2512-2991	The story aptly captured the spirit of the Roaring Twenties , featuring settings and characters familiar to theatre audiences : a decadent Long Island mansion and notorious ( but comic ) bootleggers . During rehearsals , George Gershwin purchased a rag doll in a Philadelphia toy store . The ballad , `` Someone to Watch Over Me '' , was staged with Lawrence alone on stage , clutching the doll and singing to it . It was the hit song of the show and became a Gershwin standard .	Oh, Kay!
802819300_3025-3877	It is 1926 , the Jazz Age and the era of Prohibition . Jimmy Winter is very popular among the young ladies , and they are cleaning the living room of his Long Island , New York , estate , declaring that `` The Woman 's Touch '' is exactly what his home needs . Jimmy has been away but is coming home that evening . In his absence , some English bootleggers , the Duke of Durham , his sister , Lady Kay , and their thick - headed American assistants , `` Shorty '' McGee and Larry Potter , have stashed their illegal booze in Jimmy 's house . When they hear that Jimmy is returning , the Duke cancels that night 's rum run and plans to remove their hundreds of cases of liquor from the cellar . Dolly and Phyllis Ruxton , two of the young ladies , happen to be identical twins . They join Larry in an extemporaneous song and dance ( `` Do n't Ask '' ) .	Oh, Kay!
802819300_3878-4443	Revenue Officer Jansen arrives , convinced that a crime is in progress , but departs when Jimmy returns home . Jimmy is accompanied by his serious and overbearing second wife , Constance , to whom he has just been married . His first marriage followed a drunken college prank , and the couple has now been separated for many years . He applied for an annulment so he could marry Constance . Shorty passes himself off as the new butler , having sent away the butler and maid that Jimmy had ordered . As butler , Shorty can make sure the rum in the basement is safe .	Oh, Kay!
802819300_4444-5518	Jimmy receives a telegram from his lawyer saying that the annulment has not been completed , so Jimmy and Constance are illegally married . Constance furiously leaves for the nearest inn . Jimmy tells Shorty about a beautiful girl who saved him from drowning last summer . He is interrupted when the young ladies who cleaned his house return to welcome him home . He declares that each is a `` Dear Little Girl '' . They leave , and Jimmy prepares for bed as a storm rages outside . Lady Kay , clad in oilskin and clutching a revolver , enters pursued by revenue officers . She turns out to be the girl who rescued Jimmy the previous summer . Jimmy hides her in his bedroom when Officer Jansen arrives at the house to question Jimmy . Jansen leaves but then returns and sees Kay and Jimmy together . Kay says she is Jimmy 's wife , and since the just - married suitcases are still scattered around the living room , the revenue officer believes her and leaves . Kay can not go out in the terrible storm , so she will have to stay the night in Jimmy 's room ( `` Maybe '' ) .	Oh, Kay!
802819300_5519-6379	The Duke and Larry arrive at Jimmy 's house the next morning searching frantically for Kay . The pretty girls also drop in , and Larry leads a minstrel - style song and dance ( `` Clap Yo ' Hands '' ) to cheer up the Duke . Kay hides in Jimmy 's bedroom until all the guests leave . The revenue officer returns , and Jimmy and Kay pretend to be newlyweds ( `` Do , Do , Do '' ) . The Duke , Constance and Constance 's father , Judge Appleton , all show up , and Kay hides in the bedroom again . Now that Jimmy 's annulment is final , the Judge plans to preside over an official marriage ceremony that afternoon . Constance hears noises from the bedroom and opens the door . Kay , now dressed as an English maid , introduces herself as Jane , wife of Shorty the butler . Kay realizes she is in love with Jimmy and resolves to prevent his marriage to Constance .	Oh, Kay!
802819300_6396-7198	Wedding photographs of the `` Bride and Groom '' are being taken , and Kay , still disguised as a maid , tries to convince Jimmy that she would be a better wife than fussy Constance . She tells her rag doll that she needs `` Someone to Watch Over Me '' . Larry is supposed to be ferrying the booze out of the cellar , but he ends up demonstrating the dancing ability of his `` Fidgety Feet '' instead . The revenue officer shows up briefly and is confused when Kay is introduced as Shorty 's wife , not Jimmy 's wife . The Judge and Constance demand lunch , and Shorty and Kay must serve them . The meal becomes increasingly chaotic , and the Judge and Constance are severely offended and leave . Jimmy declares that spending time with the young ladies who frequent his house is `` Heaven on Earth '' .	Oh, Kay!
802819300_7199-7616	The revenue officer returns and is shocked to hear that Jimmy is getting married that afternoon , since he saw him with his wife the previous night . Kay is trying on one of Constance 's gowns , and , since she does not look like a maid anymore , she and Shorty convince the revenue officer that she is Jimmy 's wife . She just looks like Jane the maid ; Dolly and Phyllis demonstrate that two people can look alike .	Oh, Kay!
802819300_7617-8369	Kay and Shorty plot to stop the wedding . When Jimmy sees Kay in Constance 's dress , she is so beautiful that he kisses her . The wedding begins , and as the Judge reads the service , he is interrupted by Shorty , disguised as a revenue agent , who is executing Kay 's plan . He says that Jimmy is under arrest for hiding alcohol in his house . The real revenue officer arrives , arrests the Duke and Kay , and charges Jimmy with harboring a criminal . He reveals that he found Kay in Jimmy 's pajamas the night before masquerading as Jimmy 's wife . The bootleggers and Jimmy are placed under arrest and locked in the cellar as the booze is trucked away . They soon discover , however , that the basement has been left unlocked , and they can leave .	Oh, Kay!
802819300_8370-8954	That night , Jimmy gives a party for his friends and the bootleggers . His friends all praise Kay , declaring `` Oh , Kay , You 're OK with Me '' . The revenue officer arrives and confesses that he is really the Blackbird , a famous pirate , and he has just stolen all their liquor ! But it turns out that the truck drivers were working for Shorty and Larry . Blackbird swears that he will have his revenge . Since he thinks Kay does not have a United States visa , he wants her deported . However , Jimmy arrives with their new marriage license , proving that Kay is a U.S. citizen .	Oh, Kay!
802819300_8991-9215	Oh , Kay ! premiered on November 8 , 1926 , at the Imperial Theatre on Broadway and ran for 256 performances . In London , it played at His Majesty 's Theatre , opening on September 21 , 1927 , and ran for 213 performances .	Oh, Kay!
802819300_9216-9819	It was revived at the Century Theatre in 1928 . It was revived Off - Broadway in 1960 , and a 1990 revival played at the Richard Rodgers Theatre and the Lunt - Fontanne Theatre with an all - black cast . In 1997 a Discovering Lost Musicals concert version played at the Barbican Centre in London , using the original script ( with Louise Gold in the title role ) . There have been other British productions , including a 1984 production at Chichester , directed by Ian Judge and starring Jane Carr as Kay and Michael Siberry as Jimmy . Jane How , Edward Hibbert and Gareth Valentine were also featured .	Oh, Kay!
802819300_9820-10197	Oh , Kay ! was made into a silent film of the same name in 1928 but never into a sound motion picture . A recording of the musical made in 1995 , with Dawn Upshaw , restored the songs The Moon Is On the Sea , When Our Ship Comes Sailing In and Ai n't It Romantic , cut from the original production , and returned Someone to Watch Over Me to its original spot , early in Act I .	Oh, Kay!
802819300_10240-10677	Kay -- Gertrude Lawrence `` Shorty '' McGee -- Victor Moore Jimmy Winter -- Oscar Shaw Constance Appleton -- Sascha Beaumont Mae -- Constance Carpenter Molly Morse -- Betty Compton Larry Potter -- Harland Dixon Dolly Ruxton -- Madeleine Fairbanks Phil Ruxton -- Marion Fairbanks Judge Appleton -- Frank Gardiner Peggy -- Janette Gilmore Revenue Officer Jansen -- Harry T. Shannon The Duke -- Gerald Oliver Smith Daisy -- Paulette Winston	Oh, Kay!
802819300_10693-11213	Act I The Woman 's Touch -- Molly Morse , Mae and Ensemble Do n't Ask -- Larry Potter , Phyllis Ruxton and Dolly Ruxton Dear Little Girl -- Jimmy Winter and Girls Maybe -- Jimmy and Kay Clap Yo ' Hands -- Larry , Molly , Daisy , Mae , Peggy and Ensemble Do , Do , Do -- Jimmy and Kay Act II Bride and Groom -- Constance Appleton , Jimmy , Judge Appleton and Guests Someone To Watch Over Me -- Kay Fidgety Feet -- Larry , Phyllis and Ensemble Heaven on Earth -- Jimmy , Molly , Mae and Ensemble Oh , Kay ! -- Kay and Boys	Oh, Kay!
837454258_70-411	An individual 's diet is the sum of food and drink that he or she habitually consumes . Dieting is the practice of attempting to achieve or maintain a certain weight through diet . People 's dietary choices are often affected by a variety of factors , including ethical and religious beliefs , clinical need , or a desire to control weight .	List of diets
837454258_412-923	Not all diets are considered healthy . Some people follow unhealthy diets through habit , rather than through a conscious choice to eat unhealthily . Terms applied to such eating habits include `` junk food diet '' and `` Western diet '' . Many diets are considered by clinicians to pose significant health risks and minimal long - term benefit . This is particularly true of `` crash '' or `` fad '' diets -- short - term , weight - loss plans that involve drastic changes to a person 's normal eating habits .	List of diets
837454258_1330-1497	A vegetarian diet is one which excludes meat . Vegetarians also avoid food containing by - products of animal slaughter , such as animal - derived rennet and gelatin .	List of diets
837454258_1498-2347	Fruitarian diet : A diet which predominantly consists of raw fruit . Lacto vegetarianism : A vegetarian diet that includes certain types of dairy , but excludes eggs and foods which contain animal rennet . A common diet among followers of several religions , including Hinduism , Sikhism and Jainism , based on the principle of Ahimsa ( non-harming ) . Ovo vegetarianism : A vegetarian diet that includes eggs , but excludes dairy . Ovo - lacto vegetarianism : A vegetarian diet that includes eggs and dairy . Vegan diet : In addition to the abstentions of a vegetarian diet , vegans do not use any product produced by animals , such as eggs , dairy products , or honey . The vegan philosophy and lifestyle is broader than just the diet and also includes abstaining from using any products tested on animals and often campaigning for animal rights .	List of diets
837454258_2370-3204	Semi-vegetarianism : A predominantly vegetarian diet , in which meat is occasionally consumed . Kangatarian : A diet originating from Australia . In addition to foods permissible in a vegetarian diet , kangaroo meat is also consumed . Pescetarian diet : A diet which includes fish but not other meats . Plant - based diet : A broad term to describe diets in which animal products do not form a large proportion of the diet . Under some definitions a plant - based diet is fully vegetarian ; under others it is possible to follow a plant - based diet whilst occasionally consuming meat . Pollotarian : Someone who eats chicken or other poultry , but not meat from mammals , often for environmental , health or food justice reasons . Pollo - pescetarian : Someone who eats both poultry and fish / seafood , though no meat from mammals .	List of diets
837454258_3249-3572	A desire to lose weight is a common motivation to change dietary habits , as is a desire to maintain an existing weight . Many weight loss diets are considered by some to entail varying degrees of health risk , and some are not widely considered to be effective . This is especially true of `` crash '' or `` fad '' diets .	List of diets
837454258_3573-3708	Many of the diets listed below could fall into more than one subcategory . Where this is the case , it is noted in that diet 's entry .	List of diets
